timestamp,approach_name,dataset_name,classifier_name,sensitive_name,samples,tot_inputs,disc_inputs,disc_rate,elapsed_time,egs
2024-09-03 12:13:40,FairBS,census,dt,sex,996,180794,3010,1.6649,301.3375129699707,9.98879950369789
2024-09-03 12:24:05,FairBS,census,dt,sex,989,182729,3164,1.7315,300.4156610965729,10.532074088450694
2024-09-03 12:34:36,FairBS,census,dt,sex,992,184112,2185,1.1868,300.8339579105377,7.2631428153126825
2024-09-03 12:45:10,FairBS,census,dt,sex,990,183309,3013,1.6437,301.0402591228485,10.00862811100111
2024-09-03 12:55:49,FairBS,census,dt,sex,992,183333,2670,1.4564,300.18461537361145,8.8945264455905
2024-09-03 13:06:19,FairBS,census,dt,sex,992,183139,2653,1.4486,300.5127341747284,8.828244857196152
2024-09-03 13:16:50,FairBS,census,dt,sex,988,183559,4085,2.2254,301.31016993522644,13.55745808672228
2024-09-03 13:27:19,FairBS,census,dt,sex,990,182849,3159,1.7277,300.07293128967285,10.527440733901074
2024-09-03 13:37:54,FairBS,census,dt,sex,991,184408,3852,2.0888,300.8666126728058,12.80301581415108
2024-09-03 13:48:16,FairBS,census,dt,sex,989,183700,2623,1.4279,300.59941387176514,8.725898584482817
2024-09-03 13:59:29,FairBS,census,dt,age,429,49932,23841,47.7469,301.60898303985596,79.04605413178143
2024-09-03 14:11:15,FairBS,census,dt,age,426,49120,23623,48.0924,300.38999247550964,78.64110187334536
2024-09-03 14:22:59,FairBS,census,dt,age,429,54744,32447,59.2704,300.79672169685364,107.87019159304687
2024-09-03 14:34:14,FairBS,census,dt,age,425,51803,26586,51.3214,300.7986001968384,88.3847198178532
2024-09-03 14:45:34,FairBS,census,dt,age,440,50302,26198,52.0814,300.0227732658386,87.3200381251958
2024-09-03 14:57:13,FairBS,census,dt,age,446,50434,26686,52.9127,301.3042092323303,88.5682947078343
2024-09-03 15:08:37,FairBS,census,dt,age,421,48120,23800,49.4597,301.22331404685974,79.0111485072419
2024-09-03 15:19:48,FairBS,census,dt,age,403,51230,26831,52.3736,300.1531548500061,89.39103110013323
2024-09-03 15:31:32,FairBS,census,dt,age,446,49509,25491,51.4876,302.88665199279785,84.16019600826165
2024-09-03 15:43:06,FairBS,census,dt,age,433,48647,22476,46.2022,304.0460033416748,73.92302399299216
2024-09-03 15:54:31,FairBS,census,dt,race,997,79016,82,0.1038,301.2553081512451,0.27219437394554363
2024-09-03 16:05:38,FairBS,census,dt,race,998,79216,209,0.2638,301.4345033168793,0.6933512842764763
2024-09-03 16:16:42,FairBS,census,dt,race,996,79036,424,0.5365,300.7935562133789,1.409604664865959
2024-09-03 16:27:41,FairBS,census,dt,race,999,79956,295,0.369,303.07221698760986,0.9733653679382301
2024-09-03 16:38:40,FairBS,census,dt,race,999,79701,160,0.2008,303.2343647480011,0.5276446821354364
2024-09-03 16:49:44,FairBS,census,dt,race,1000,78940,408,0.5168,300.7270874977112,1.3567118392788786
2024-09-03 17:00:47,FairBS,census,dt,race,998,78717,201,0.2553,301.3850197792053,0.6669210040606949
2024-09-03 17:11:44,FairBS,census,dt,race,1000,79006,87,0.1101,301.28210830688477,0.28876590279095543
2024-09-03 17:23:18,FairBS,census,dt,race,1000,79259,79,0.0997,302.18621349334717,0.2614282070870822
2024-09-03 17:34:19,FairBS,census,dt,race,998,79389,168,0.2116,300.9836025238037,0.5581699421207289
2024-09-03 17:45:20,FairBS,census,rf,sex,937,115971,25657,22.1236,300.0271646976471,85.51558998284668
2024-09-03 17:56:04,FairBS,census,rf,sex,932,117870,24115,20.459,300.82435488700867,80.16305730650609
2024-09-03 18:06:57,FairBS,census,rf,sex,943,115530,23704,20.5176,300.1536591053009,78.972883657847
2024-09-03 18:17:45,FairBS,census,rf,sex,934,116316,23295,20.0273,301.75896668434143,77.19737463300639
2024-09-03 18:28:50,FairBS,census,rf,sex,941,115363,22154,19.2037,300.3108665943146,73.77022433866006
2024-09-03 18:39:36,FairBS,census,rf,sex,946,116874,23405,20.0258,300.3273947238922,77.93161866408333
2024-09-03 18:50:12,FairBS,census,rf,sex,938,115803,22080,19.0669,300.56426310539246,73.4618273372629
2024-09-03 19:01:05,FairBS,census,rf,sex,939,115632,24481,21.1715,300.56178426742554,81.45080739279207
2024-09-03 19:11:41,FairBS,census,rf,sex,938,116653,24444,20.9545,301.13602805137634,81.17261876028213
2024-09-03 19:22:19,FairBS,census,rf,sex,943,116861,26482,22.6611,301.0862054824829,87.9548764366779
2024-09-03 19:35:02,FairBS,census,rf,age,866,34677,14010,40.4014,303.0582730770111,46.22873303458663
2024-09-03 19:48:19,FairBS,census,rf,age,848,37194,18116,48.7068,304.10285472869873,59.571949813368064
2024-09-03 20:01:14,FairBS,census,rf,age,845,36586,17465,47.7368,301.5920422077179,57.909352886609625
2024-09-03 20:14:08,FairBS,census,rf,age,873,36968,16787,45.4095,308.0398726463318,54.49619185914146
2024-09-03 20:26:51,FairBS,census,rf,age,861,36534,17185,47.0384,301.4757263660431,57.00293090639898
2024-09-03 20:40:26,FairBS,census,rf,age,845,37232,17837,47.9077,306.7927005290985,58.140235961410056
2024-09-03 20:53:47,FairBS,census,rf,age,866,34482,13934,40.4095,302.35121750831604,46.08547673407914
2024-09-03 21:07:26,FairBS,census,rf,age,858,35587,15754,44.269,302.9747130870819,51.99773881945038
2024-09-03 21:20:13,FairBS,census,rf,age,878,36024,16055,44.5675,302.74945306777954,53.03064906414747
2024-09-03 21:34:09,FairBS,census,rf,age,862,37432,18514,49.4604,303.4773066043854,61.00620902153632
2024-09-03 21:45:48,FairBS,census,rf,race,967,52354,4378,8.3623,302.15293526649475,14.489351215928663
2024-09-03 21:57:17,FairBS,census,rf,race,953,52634,4365,8.2931,302.06587982177734,14.450490080426842
2024-09-03 22:08:39,FairBS,census,rf,race,950,52818,4492,8.5047,304.26376509666443,14.763506257713251
2024-09-03 22:20:20,FairBS,census,rf,race,971,51958,4085,7.8621,300.36743450164795,13.600009624137826
2024-09-03 22:31:57,FairBS,census,rf,race,958,52523,4392,8.3621,301.41246485710144,14.571394723447257
2024-09-03 22:43:16,FairBS,census,rf,race,971,52522,4000,7.6159,301.2732763290405,13.276982441785957
2024-09-03 22:55:00,FairBS,census,rf,race,967,52399,4557,8.6967,300.4185106754303,15.168838929913163
2024-09-03 23:07:12,FairBS,census,rf,race,959,52722,4913,9.3187,303.13434076309204,16.20733562430542
2024-09-03 23:19:36,FairBS,census,rf,race,959,52638,3575,6.7917,302.9997148513794,11.798690971552658
2024-09-03 23:30:57,FairBS,census,rf,race,965,52197,4443,8.512,301.9950737953186,14.712160513622502
2024-09-03 23:41:25,FairBS,census,mlp,sex,967,121238,27441,22.634,300.1191711425781,91.43367914661992
2024-09-03 23:52:07,FairBS,census,mlp,sex,973,123022,28159,22.8894,300.29275131225586,93.77182724840134
2024-09-04 00:02:50,FairBS,census,mlp,sex,966,125877,27256,21.6529,300.48500204086304,90.70669023372238
2024-09-04 00:13:22,FairBS,census,mlp,sex,977,125591,27771,22.1123,300.3478751182556,92.4627816629825
2024-09-04 00:24:00,FairBS,census,mlp,sex,977,124001,25373,20.4619,300.25911712646484,84.50367883188459
2024-09-04 00:34:37,FairBS,census,mlp,sex,974,123128,27849,22.6179,300.6231505870819,92.63757613348857
2024-09-04 00:45:09,FairBS,census,mlp,sex,965,124327,27769,22.3355,301.51033902168274,92.0996609605584
2024-09-04 00:55:53,FairBS,census,mlp,sex,965,120720,29981,24.8352,300.00766682624817,99.93411274173782
2024-09-04 01:06:21,FairBS,census,mlp,sex,973,124195,26911,21.6683,300.63441491127014,89.5140365348477
2024-09-04 01:16:47,FairBS,census,mlp,sex,966,126351,29594,23.4221,300.45518136024475,98.49721967189807
2024-09-04 01:28:38,FairBS,census,mlp,age,864,57112,41978,73.5012,300.02950525283813,139.9129061144326
2024-09-04 01:40:28,FairBS,census,mlp,age,860,60409,48050,79.5411,301.19622898101807,159.53054977666469
2024-09-04 01:52:22,FairBS,census,mlp,age,872,58238,43642,74.9373,300.82684564590454,145.0734887250384
2024-09-04 02:04:28,FairBS,census,mlp,age,869,62251,50172,80.5963,303.20569705963135,165.4718248586625
2024-09-04 02:16:37,FairBS,census,mlp,age,896,60188,46052,76.5136,301.32165694236755,152.83335578102228
2024-09-04 02:29:08,FairBS,census,mlp,age,869,60916,47910,78.6493,301.0468740463257,159.144651980766
2024-09-04 02:41:11,FairBS,census,mlp,age,868,56764,40613,71.5471,300.1213102340698,135.32194687649877
2024-09-04 02:53:02,FairBS,census,mlp,age,862,56905,41850,73.5436,301.01990389823914,139.0273515406727
2024-09-04 03:04:50,FairBS,census,mlp,age,868,60102,47026,78.2437,300.7000832557678,156.38838370390766
2024-09-04 03:16:39,FairBS,census,mlp,age,855,59124,44481,75.2334,302.7823877334595,146.9074880245571
2024-09-04 03:28:16,FairBS,census,mlp,race,992,62194,1825,2.9344,301.338942527771,6.056303193643186
2024-09-04 03:40:09,FairBS,census,mlp,race,988,62430,2081,3.3333,300.0997631549835,6.934360687666683
2024-09-04 03:51:56,FairBS,census,mlp,race,994,61916,1723,2.7828,300.6308012008667,5.73128233407054
2024-09-04 04:03:40,FairBS,census,mlp,race,994,61204,1420,2.3201,302.5303056240082,4.693744638478664
2024-09-04 04:14:40,FairBS,census,mlp,race,994,62019,2431,3.9198,300.80572605133057,8.081628072416299
2024-09-04 04:26:32,FairBS,census,mlp,race,996,61475,1778,2.8922,301.0473234653473,5.906048190475477
2024-09-04 04:38:20,FairBS,census,mlp,race,991,62977,1861,2.955,303.6834602355957,6.128091396733454
2024-09-04 04:50:05,FairBS,census,mlp,race,993,61620,1583,2.569,300.68573570251465,5.264632844326713
2024-09-04 05:01:29,FairBS,census,mlp,race,993,61177,1615,2.6399,300.21278500556946,5.379517730965518
2024-09-04 05:13:23,FairBS,census,mlp,race,995,63453,1607,2.5326,303.4528410434723,5.295715783955317
2024-09-04 05:18:57,FairBS,census,svm,sex,1001,11730,0,0.0,302.7172589302063,0.0
2024-09-04 05:24:33,FairBS,census,svm,sex,1001,8902,10,0.1123,303.9329295158386,0.03290199589735102
2024-09-04 05:30:10,FairBS,census,svm,sex,1001,7491,0,0.0,305.4364266395569,0.0
2024-09-04 05:41:15,FairBS,census,svm,sex,1000,7459,0,0.0,300.9572477340698,0.0
2024-09-04 05:46:50,FairBS,census,svm,sex,1001,9179,6,0.0654,302.70910835266113,0.019821009128704183
2024-09-04 05:52:25,FairBS,census,svm,sex,1001,7713,7,0.0908,303.68949246406555,0.023049859062306163
2024-09-04 05:58:01,FairBS,census,svm,sex,1001,8126,6,0.0738,304.42266869544983,0.01970943893801323
2024-09-04 06:03:36,FairBS,census,svm,sex,1001,10709,9,0.084,303.06025075912476,0.029697065113145727
2024-09-04 06:09:10,FairBS,census,svm,sex,1001,9521,21,0.2206,303.03277039527893,0.06929943574289801
2024-09-04 06:20:16,FairBS,census,svm,sex,1000,13924,54,0.3878,302.55555748939514,0.17847961692752165
2024-09-04 06:34:03,FairBS,census,svm,age,995,7538,465,6.1687,301.02171325683594,1.5447390653951116
2024-09-04 06:48:26,FairBS,census,svm,age,992,8283,597,7.2075,303.9277672767639,1.9642825180114507
2024-09-04 07:02:50,FairBS,census,svm,age,987,7471,421,5.6351,303.5838701725006,1.3867666940301602
2024-09-04 07:16:42,FairBS,census,svm,age,998,6825,556,8.1465,303.8812527656555,1.8296620635191707
2024-09-04 07:30:42,FairBS,census,svm,age,992,7293,389,5.3339,305.78130316734314,1.2721510307224841
2024-09-04 07:44:45,FairBS,census,svm,age,990,8146,566,6.9482,303.01081371307373,1.867920134810619
2024-09-04 07:58:30,FairBS,census,svm,age,987,7037,489,6.949,300.71087527275085,1.626146708383816
2024-09-04 08:11:09,FairBS,census,svm,age,989,8231,422,5.127,300.7798981666565,1.4030192927526617
2024-09-04 08:25:25,FairBS,census,svm,age,989,6902,304,4.4045,305.7423143386841,0.9943013634130013
2024-09-04 08:39:27,FairBS,census,svm,age,984,8575,545,6.3557,302.8085777759552,1.7998169140480544
2024-09-04 08:51:08,FairBS,census,svm,race,999,8068,12,0.1487,304.19987964630127,0.03944774736253222
2024-09-04 09:02:53,FairBS,census,svm,race,997,8835,31,0.3509,303.2900357246399,0.1022123919301629
2024-09-04 09:14:36,FairBS,census,svm,race,998,6641,0,0.0,303.0467414855957,0.0
2024-09-04 09:26:18,FairBS,census,svm,race,999,10098,36,0.3565,301.41003799438477,0.11943862334362824
2024-09-04 09:32:40,FairBS,census,svm,race,1001,8317,36,0.4328,304.1135482788086,0.11837683721672117
2024-09-04 09:44:21,FairBS,census,svm,race,998,6015,0,0.0,303.5568735599518,0.0
2024-09-04 09:56:06,FairBS,census,svm,race,1000,8598,11,0.1279,304.8276832103729,0.03608596136725709
2024-09-04 10:07:52,FairBS,census,svm,race,999,9368,48,0.5124,301.27002477645874,0.1593255088541113
2024-09-04 10:19:32,FairBS,census,svm,race,998,7607,21,0.2761,301.0355942249298,0.06975919260999108
2024-09-04 10:31:21,FairBS,census,svm,race,997,10976,60,0.5466,302.5672423839569,0.19830302688174084
2024-09-04 10:41:46,FairBS,census,lr,sex,997,127551,14210,11.1406,300.06483912467957,47.356431501444995
2024-09-04 10:52:10,FairBS,census,lr,sex,999,128330,14220,11.0808,300.24125623703003,47.361912144325046
2024-09-04 11:02:37,FairBS,census,lr,sex,997,133194,15596,11.7092,300.33226466178894,51.92915259225649
2024-09-04 11:13:06,FairBS,census,lr,sex,995,129840,13436,10.3481,300.86101770401,44.65849415299947
2024-09-04 11:23:32,FairBS,census,lr,sex,995,131187,15611,11.8998,301.4475438594818,51.78678784417957
2024-09-04 11:33:56,FairBS,census,lr,sex,995,122983,15185,12.3472,300.01149344444275,50.61472754147006
2024-09-04 11:44:24,FairBS,census,lr,sex,990,130956,15953,12.182,300.100754737854,53.15881332566248
2024-09-04 11:54:50,FairBS,census,lr,sex,994,127625,14048,11.0072,300.35634660720825,46.7711109110383
2024-09-04 12:05:13,FairBS,census,lr,sex,999,124173,14146,11.3922,300.0682547092438,47.14260765007284
2024-09-04 12:15:43,FairBS,census,lr,sex,989,129291,14764,11.4192,300.61363434791565,49.11287550887616
2024-09-04 12:27:32,FairBS,census,lr,age,959,52321,31131,59.5,300.71607995033264,103.52289776170835
2024-09-04 12:39:09,FairBS,census,lr,age,947,52501,31589,60.1684,302.6615426540375,104.37070968117133
