approach_name,dataset_name,sensitive_name,classifier_name,samples,tot_inputs,disc_inputs,disc_rate,elapsed_time,egs
AEQUITAS,bank,age,dt,257.5,3959,830,20.87,363.44,2.29
AEQUITAS,bank,age,lr,4.1,3663,99,2.69,345.74,0.28
AEQUITAS,bank,age,mlp,173,4098,1344,32.57,330.53,4.07
AEQUITAS,bank,age,rf,340.7,3738,1517,40.16,355.27,4.24
AEQUITAS,bank,age,svm,10.9,2965,205,6.36,355.79,0.53
AEQUITAS,bank,marital,dt,212.1,7736,798,10.3,327.94,2.43
AEQUITAS,bank,marital,lr,4.7,7724,223,2.88,311.42,0.72
AEQUITAS,bank,marital,mlp,5.7,6994,98,1.44,320.74,0.3
AEQUITAS,bank,marital,rf,208,6974,2144,30.59,326.27,6.54
AEQUITAS,bank,marital,svm,5,6005,335,5.52,324.61,1.02
AEQUITAS,census,age,dt,571.2,8072,5199,63.79,323.98,16.08
AEQUITAS,census,age,lr,57.1,5341,1668,30.65,321.6,5.19
AEQUITAS,census,age,mlp,132.7,9222,6576,68.98,311.57,21.25
AEQUITAS,census,age,rf,140.8,3700,977,25.9,343.48,2.86
AEQUITAS,census,age,svm,10.7,3513,436,12.41,377.79,1.2
AEQUITAS,census,race,dt,2.5,6213,347,5.46,315.15,1.09
AEQUITAS,census,race,lr,7.6,6714,326,4.84,336.1,0.97
AEQUITAS,census,race,mlp,8,5971,384,6.38,341.14,1.13
AEQUITAS,census,race,rf,39,4543,388,8.33,321.75,1.19
AEQUITAS,census,race,svm,2.4,4028,92,2.12,290.8,0.29
AEQUITAS,census,sex,dt,10.1,13540,1151,8.49,309.71,3.73
AEQUITAS,census,sex,lr,6,13539,700,5.17,305.67,2.29
AEQUITAS,census,sex,mlp,30.7,12903,2072,15.81,310.83,6.65
AEQUITAS,census,sex,rf,61.9,10287,1981,19.05,315.45,6.28
AEQUITAS,census,sex,svm,0.2,2683,31,0.33,66.46,0.09
AEQUITAS,compas,age,dt,543.4,6721,2418,34.92,336.31,7.19
AEQUITAS,compas,age,lr,22.2,5788,222,3.8,355.45,0.63
AEQUITAS,compas,age,mlp,18,5055,112,2.23,361.9,0.31
AEQUITAS,compas,age,rf,230.1,4584,647,14.04,397.98,1.62
AEQUITAS,compas,age,svm,91.6,5252,620,11.6,361.73,1.68
AEQUITAS,compas,race,dt,871.1,10497,5835,54.93,314.72,18.58
AEQUITAS,compas,race,lr,7.3,7322,110,1.54,343.17,0.32
AEQUITAS,compas,race,mlp,10.6,6167,126,2.05,324.38,0.39
AEQUITAS,compas,race,rf,229.9,6529,1061,16.53,368.6,2.91
AEQUITAS,compas,race,svm,42.2,6686,537,8.18,344.54,1.57
AEQUITAS,compas,sex,dt,105.3,17908,1323,7.41,311.21,4.26
AEQUITAS,compas,sex,lr,4.8,16402,212,1.31,308.07,0.68
AEQUITAS,compas,sex,mlp,5.8,14463,191,1.35,308.64,0.62
AEQUITAS,compas,sex,rf,87.5,12102,846,6.96,310.03,2.74
AEQUITAS,compas,sex,svm,3.4,13264,81,0.61,296.88,0.27
AEQUITAS,credit,age,dt,83,3118,323,10.38,349.08,0.93
AEQUITAS,credit,age,lr,173,3829,943,24.62,374.47,2.53
AEQUITAS,credit,age,mlp,137.7,3633,1110,30.36,357.79,3.09
AEQUITAS,credit,age,rf,194.2,2740,653,23.18,374.14,1.71
AEQUITAS,credit,age,svm,3.3,2901,216,6.93,329.87,0.6
AEQUITAS,credit,sex,dt,4.9,8427,968,11.39,317.57,3.03
AEQUITAS,credit,sex,lr,60.3,8564,707,8.18,320.96,2.19
AEQUITAS,credit,sex,mlp,13.4,7315,257,3.51,324.64,0.79
AEQUITAS,credit,sex,rf,82,5936,633,10.66,320.6,1.98
AEQUITAS,credit,sex,svm,0.3,2874,11,0.15,93.34,0.04
AEQUITAS,meps,SEX,dt,51.5,9102,527,5.83,326.53,1.62
AEQUITAS,meps,SEX,lr,176.4,5847,791,13.41,321.01,2.46
AEQUITAS,meps,SEX,mlp,192.9,5336,778,14.55,337.92,2.3
AEQUITAS,meps,SEX,rf,242.4,4805,846,17.87,344.57,2.47
AEQUITAS,meps,SEX,svm,5.1,4522,140,3.12,363.96,0.39
,,,,109.0218182,6942.072727,966.6363636,14.23072727,324.6052727,2.956545455
