approach_name,dataset_name,sensitive_name,classifier_name,samples,tot_inputs,disc_inputs,disc_rate,elapsed_time,egs,,,,,,,,,,,,,
FairBS,bank,age,dt,870,44497,9877,22.18,304.09,32.48,,,FairBS,Aequitas,SG,,,,,,,,
FairBS,bank,age,lr,1115.1,25438,739,2.8,300.74,2.46,,,1172.525455,109.0218182,1.521818182,,,,,,,,
FairBS,bank,age,mlp,955.2,43545,19917,45.67,303.29,65.69,,TN,68920.30909,6942.072727,2086.763636,,,,,,,,
FairBS,bank,age,rf,785.8,36002,20593,57.17,304.43,67.64,,ID,13239.67273,966.6363636,827.2363636,,,,,,,,
FairBS,bank,age,svm,1114.2,9484,24,0.25,302.49,0.08,,DSP,22.69854545,14.23072727,37.14836364,,,1172.525455,68920.30909,13239.67273,22.69854545,301.6383636,43.91109091
FairBS,bank,marital,dt,914.4,131385,22228,16.92,301.15,73.81,,Time,301.6383636,324.6052727,300.1365455,,,109.0218182,6942.072727,966.6363636,14.23072727,324.6052727,2.956545455
FairBS,bank,marital,lr,1116.1,45160,1011,2.21,300.24,3.37,,ESG,43.91109091,2.956545455,2.756727273,,,1.521818182,2086.763636,827.2363636,37.14836364,300.1365455,2.756727273
FairBS,bank,marital,mlp,1123.4,104562,1352,1.29,301.27,4.49,,,,,,,,,,,,,
FairBS,bank,marital,rf,916.7,92282,33898,36.73,301.52,112.43,,,,,,,,,,,,,
FairBS,bank,marital,svm,1115.6,13018,17,0.12,302.5,0.06,,,,,,,,,,,,,
FairBS,census,age,dt,429.8,50384,25798,51.09,301.32,85.63,,,,,,,,,,,,,
FairBS,census,age,lr,943.9,52285,31024,59.27,301.55,102.92,,,,,,,,,,,,,
FairBS,census,age,mlp,868.3,59201,45177,76.23,301.23,149.96,,,,,,,,,,,,,
FairBS,census,age,rf,860.2,36272,16566,45.59,303.66,54.55,,,,,,,,,,,,,
FairBS,census,age,svm,990.3,7630,475,6.23,303.12,1.57,,,,,,,,,,,,,
FairBS,census,race,dt,998.5,79224,211,0.27,301.64,0.7,,,,,,,,,,,,,
FairBS,census,race,lr,993.4,66636,1799,2.69,300.89,5.98,,,,,,,,,,,,,
FairBS,census,race,mlp,993,62046,1792,2.89,301.45,5.95,,,,,,,,,,,,,
FairBS,census,race,rf,962,52476,4320,8.23,302.01,14.3,,,,,,,,,,,,,
FairBS,census,race,svm,998.6,8452,26,0.28,302.93,0.08,,,,,,,,,,,,,
FairBS,census,sex,dt,990.9,183193,3041,1.66,300.72,10.11,,,,,,,,,,,,,
FairBS,census,sex,lr,995,128513,14717,11.45,300.41,48.99,,,,,,,,,,,,,
FairBS,census,sex,mlp,970.3,123845,27810,22.46,300.47,92.56,,,,,,,,,,,,,
FairBS,census,sex,rf,939.1,116287,23982,20.62,300.68,79.76,,,,,,,,,,,,,
FairBS,census,sex,svm,1000.8,9475,11,0.1,303.25,0.04,,,,,,,,,,,,,
FairBS,compas,age,dt,1255.9,48268,15698,32.49,302.4,51.9,,,,,,,,,,,,,
FairBS,compas,age,lr,1764.7,34986,28543,81.64,300.56,94.96,,,,,,,,,,,,,
FairBS,compas,age,mlp,1772.6,31291,26229,83.84,301.27,87.07,,,,,,,,,,,,,
FairBS,compas,age,rf,1546.2,41521,27884,67.05,302.81,92.05,,,,,,,,,,,,,
FairBS,compas,age,svm,1702.2,18011,6989,38.88,301.8,23.16,,,,,,,,,,,,,
FairBS,compas,race,dt,918.4,82574,44047,53.32,301.88,145.91,,,,,,,,,,,,,
FairBS,compas,race,lr,1764.3,20236,902,4.27,300.26,3.01,,,,,,,,,,,,,
FairBS,compas,race,mlp,1778,12928,807,5.66,300.22,2.69,,,,,,,,,,,,,
