dataset_name,sensitive_name,classifier_name,samples_AEQUITAS,samples_FairBS,tot_inputs_AEQUITAS,tot_inputs_FairBS,disc_inputs_AEQUITAS,disc_inputs_FairBS,disc_rate_AEQUITAS,disc_rate_FairBS,elapsed_time_AEQUITAS,elapsed_time_FairBS,egs_AEQUITAS,egs_FairBS
bank,age,dt,257.5,870.0,3959.0,44497.0,830.0,9877.0,20.87,22.18,363.44,304.09,2.29,32.48
bank,marital,dt,212.1,914.4,7736.0,131385.0,798.0,22228.0,10.3,16.92,327.94,301.15,2.43,73.81
census,age,dt,571.2,429.8,8072.0,50384.0,5199.0,25798.0,63.79,51.09,323.98,301.32,16.08,85.63
census,race,dt,2.5,998.5,6213.0,79224.0,347.0,211.0,5.46,0.27,315.15,301.64,1.09,0.7
census,sex,dt,10.1,990.9,13540.0,183193.0,1151.0,3041.0,8.49,1.66,309.71,300.72,3.73,10.11
compas,age,dt,543.4,1255.9,6721.0,48268.0,2418.0,15698.0,34.92,32.49,336.31,302.4,7.19,51.9
compas,race,dt,871.1,918.4,10497.0,82574.0,5835.0,44047.0,54.93,53.32,314.72,301.88,18.58,145.91
compas,sex,dt,105.3,1680.3,17908.0,183184.0,1323.0,12946.0,7.41,7.07,311.21,300.68,4.26,43.06
credit,age,dt,83.0,918.0,3118.0,45617.0,323.0,9820.0,10.38,21.51,349.08,302.39,0.93,32.48
credit,sex,dt,4.9,996.1,8427.0,169087.0,968.0,1230.0,11.39,0.73,317.57,300.88,3.03,4.09
meps,SEX,dt,51.5,1442.4,9102.0,161681.0,527.0,5061.0,5.83,3.13,326.53,300.78,1.62,16.83
