dataset_name,sensitive_name,classifier_name,samples_AEQUITAS,samples_FairBS,tot_inputs_AEQUITAS,tot_inputs_FairBS,disc_inputs_AEQUITAS,disc_inputs_FairBS,disc_rate_AEQUITAS,disc_rate_FairBS,elapsed_time_AEQUITAS,elapsed_time_FairBS,egs_AEQUITAS,egs_FairBS
bank,age,lr,4.1,1115.1,3663.0,25438.0,99.0,739.0,2.69,2.8,345.74,300.74,0.28,2.46
bank,marital,lr,4.7,1116.1,7724.0,45160.0,223.0,1011.0,2.88,2.21,311.42,300.24,0.72,3.37
census,age,lr,57.1,943.9,5341.0,52285.0,1668.0,31024.0,30.65,59.27,321.6,301.55,5.19,102.92
census,race,lr,7.6,993.4,6714.0,66636.0,326.0,1799.0,4.84,2.69,336.1,300.89,0.97,5.98
census,sex,lr,6.0,995.0,13539.0,128513.0,700.0,14717.0,5.17,11.45,305.67,300.41,2.29,48.99
compas,age,lr,22.2,1764.7,5788.0,34986.0,222.0,28543.0,3.8,81.64,355.45,300.56,0.63,94.96
compas,race,lr,7.3,1764.3,7322.0,20236.0,110.0,902.0,1.54,4.27,343.17,300.26,0.32,3.01
compas,sex,lr,4.8,1770.6,16402.0,34980.0,212.0,12086.0,1.31,34.89,308.07,300.25,0.68,40.25
credit,age,lr,173.0,828.0,3829.0,47121.0,943.0,8356.0,24.62,17.56,374.47,302.49,2.53,27.61
credit,sex,lr,60.3,940.7,8564.0,171176.0,707.0,29888.0,8.18,17.46,320.96,300.73,2.19,99.38
meps,SEX,lr,176.4,1307.8,5847.0,130760.0,791.0,22816.0,13.41,17.42,321.01,300.86,2.46,75.83
