dataset_name,sensitive_name,classifier_name,samples_AEQUITAS,samples_FairBS,tot_inputs_AEQUITAS,tot_inputs_FairBS,disc_inputs_AEQUITAS,disc_inputs_FairBS,disc_rate_AEQUITAS,disc_rate_FairBS,elapsed_time_AEQUITAS,elapsed_time_FairBS,egs_AEQUITAS,egs_FairBS
bank,age,mlp,173.0,955.2,4098.0,43545.0,1344.0,19917.0,32.57,45.67,330.53,303.29,4.07,65.69
bank,marital,mlp,5.7,1123.4,6994.0,104562.0,98.0,1352.0,1.44,1.29,320.74,301.27,0.3,4.49
census,age,mlp,132.7,868.3,9222.0,59201.0,6576.0,45177.0,68.98,76.23,311.57,301.23,21.25,149.96
census,race,mlp,8.0,993.0,5971.0,62046.0,384.0,1792.0,6.38,2.89,341.14,301.45,1.13,5.95
census,sex,mlp,30.7,970.3,12903.0,123845.0,2072.0,27810.0,15.81,22.46,310.83,300.47,6.65,92.56
compas,age,mlp,18.0,1772.6,5055.0,31291.0,112.0,26229.0,2.23,83.84,361.9,301.27,0.31,87.07
compas,race,mlp,10.6,1778.0,6167.0,12928.0,126.0,807.0,2.05,5.66,324.38,300.22,0.39,2.69
compas,sex,mlp,5.8,1775.5,14463.0,31609.0,191.0,17308.0,1.35,55.02,308.64,300.14,0.62,57.67
credit,age,mlp,137.7,863.3,3633.0,38155.0,1110.0,5887.0,30.36,15.25,357.79,301.86,3.09,19.51
credit,sex,mlp,13.4,987.6,7315.0,141450.0,257.0,9085.0,3.51,6.42,324.64,300.87,0.79,30.2
meps,SEX,mlp,192.9,1297.2,5336.0,106965.0,778.0,15419.0,14.55,14.42,337.92,301.07,2.3,51.21
