dataset_name,sensitive_name,classifier_name,samples_AEQUITAS,samples_FairBS,samples_SDG,tot_inputs_AEQUITAS,tot_inputs_FairBS,tot_inputs_SDG,disc_inputs_AEQUITAS,disc_inputs_FairBS,disc_inputs_SDG,disc_rate_AEQUITAS,disc_rate_FairBS,disc_rate_SDG,elapsed_time_AEQUITAS,elapsed_time_FairBS,elapsed_time_SDG,egs_AEQUITAS,egs_FairBS,egs_SDG
bank,age,dt,257.5,870.0,1.0,3959.0,44497.0,1947.0,830.0,9877.0,1420.0,20.87,22.18,72.9,363.44,304.09,300.08,2.29,32.48,4.73
bank,age,lr,4.1,1115.1,3.9,3663.0,25438.0,2724.0,99.0,739.0,440.0,2.69,2.8,16.17,345.74,300.74,300.06,0.28,2.46,1.47
bank,age,mlp,173.0,955.2,1.0,4098.0,43545.0,2251.0,1344.0,19917.0,1105.0,32.57,45.67,49.09,330.53,303.29,300.07,4.07,65.69,3.68
bank,age,rf,340.7,785.8,1.0,3738.0,36002.0,2059.0,1517.0,20593.0,1484.0,40.16,57.17,72.1,355.27,304.43,300.05,4.24,67.64,4.95
bank,age,svm,10.9,1114.2,0.0,2965.0,9484.0,222.0,205.0,24.0,0.0,6.36,0.25,0.0,355.79,302.49,300.66,0.53,0.08,0.0
bank,marital,dt,212.1,914.4,1.0,7736.0,131385.0,2082.0,798.0,22228.0,968.0,10.3,16.92,46.46,327.94,301.15,300.08,2.43,73.81,3.23
bank,marital,lr,4.7,1116.1,7.0,7724.0,45160.0,2750.0,223.0,1011.0,413.0,2.88,2.21,15.03,311.42,300.24,300.05,0.72,3.37,1.38
bank,marital,mlp,5.7,1123.4,1.1,6994.0,104562.0,1799.0,98.0,1352.0,412.0,1.44,1.29,22.97,320.74,301.27,300.04,0.3,4.49,1.37
bank,marital,rf,208.0,916.7,1.1,6974.0,92282.0,2176.0,2144.0,33898.0,1297.0,30.59,36.73,59.69,326.27,301.52,300.06,6.54,112.43,4.32
bank,marital,svm,5.0,1115.6,0.0,6005.0,13018.0,223.0,335.0,17.0,0.0,5.52,0.12,0.0,324.61,302.5,300.83,1.02,0.06,0.0
census,age,dt,571.2,429.8,1.0,8072.0,50384.0,1473.0,5199.0,25798.0,1050.0,63.79,51.09,71.43,323.98,301.32,300.05,16.08,85.63,3.5
census,age,lr,57.1,943.9,1.0,5341.0,52285.0,3211.0,1668.0,31024.0,1680.0,30.65,59.27,52.33,321.6,301.55,300.04,5.19,102.92,5.6
census,age,mlp,132.7,868.3,1.0,9222.0,59201.0,2908.0,6576.0,45177.0,2334.0,68.98,76.23,80.29,311.57,301.23,300.04,21.25,149.96,7.78
census,age,rf,140.8,860.2,1.1,3700.0,36272.0,2538.0,977.0,16566.0,1401.0,25.9,45.59,55.29,343.48,303.66,300.05,2.86,54.55,4.67
census,age,svm,10.7,990.3,1.0,3513.0,7630.0,159.0,436.0,475.0,29.0,12.41,6.23,18.22,377.79,303.12,300.9,1.2,1.57,0.1
census,race,dt,2.5,998.5,1.0,6213.0,79224.0,2548.0,347.0,211.0,737.0,5.46,0.27,28.97,315.15,301.64,300.07,1.09,0.7,2.46
census,race,lr,7.6,993.4,3.7,6714.0,66636.0,3096.0,326.0,1799.0,442.0,4.84,2.69,14.26,336.1,300.89,300.05,0.97,5.98,1.47
census,race,mlp,8.0,993.0,3.1,5971.0,62046.0,2782.0,384.0,1792.0,574.0,6.38,2.89,19.8,341.14,301.45,300.04,1.13,5.95,1.91
census,race,rf,39.0,962.0,1.0,4543.0,52476.0,2171.0,388.0,4320.0,619.0,8.33,8.23,28.63,321.75,302.01,300.04,1.19,14.3,2.06
census,race,svm,2.4,998.6,0.0,4028.0,8452.0,162.0,92.0,26.0,0.0,2.12,0.28,0.0,290.8,302.93,300.76,0.29,0.08,0.0
census,sex,dt,10.1,990.9,1.0,13540.0,183193.0,2400.0,1151.0,3041.0,634.0,8.49,1.66,26.45,309.71,300.72,300.05,3.73,10.11,2.11
census,sex,lr,6.0,995.0,4.8,13539.0,128513.0,3042.0,700.0,14717.0,367.0,5.17,11.45,12.06,305.67,300.41,300.04,2.29,48.99,1.22
