dataset_name,sensitive_name,classifier_name,samples_AEQUITAS,samples_FairBS,tot_inputs_AEQUITAS,tot_inputs_FairBS,disc_inputs_AEQUITAS,disc_inputs_FairBS,disc_rate_AEQUITAS,disc_rate_FairBS,elapsed_time_AEQUITAS,elapsed_time_FairBS,egs_AEQUITAS,egs_FairBS
bank,age,rf,340.7,785.8,3738.0,36002.0,1517.0,20593.0,40.16,57.17,355.27,304.43,4.24,67.64
bank,marital,rf,208.0,916.7,6974.0,92282.0,2144.0,33898.0,30.59,36.73,326.27,301.52,6.54,112.43
census,age,rf,140.8,860.2,3700.0,36272.0,977.0,16566.0,25.9,45.59,343.48,303.66,2.86,54.55
census,race,rf,39.0,962.0,4543.0,52476.0,388.0,4320.0,8.33,8.23,321.75,302.01,1.19,14.3
census,sex,rf,61.9,939.1,10287.0,116287.0,1981.0,23982.0,19.05,20.62,315.45,300.68,6.28,79.76
compas,age,rf,230.1,1546.2,4584.0,41521.0,647.0,27884.0,14.04,67.05,397.98,302.81,1.62,92.05
compas,race,rf,229.9,1539.6,6529.0,52809.0,1061.0,30110.0,16.53,57.02,368.6,301.13,2.91,99.99
compas,sex,rf,87.5,1688.4,12102.0,102525.0,846.0,27663.0,6.96,26.99,310.03,300.91,2.74,91.93
credit,age,rf,194.2,806.8,2740.0,34343.0,653.0,12381.0,23.18,36.04,374.14,304.49,1.71,40.66
credit,sex,rf,82.0,919.0,5936.0,121276.0,633.0,21873.0,10.66,18.04,320.6,301.2,1.98,72.63
meps,SEX,rf,242.4,1242.0,4805.0,116069.0,846.0,23903.0,17.87,20.59,344.57,301.14,2.47,79.37
