dataset_name,sensitive_name,classifier_name,samples_AEQUITAS,samples_FairBS,samples_SDG,tot_inputs_AEQUITAS,tot_inputs_FairBS,tot_inputs_SDG,disc_inputs_AEQUITAS,disc_inputs_FairBS,disc_inputs_SDG,disc_rate_AEQUITAS,disc_rate_FairBS,disc_rate_SDG,elapsed_time_AEQUITAS,elapsed_time_FairBS,elapsed_time_SDG,egs_AEQUITAS,egs_FairBS,egs_SDG
bank,age,svm,10.9,1114.2,0.0,2965.0,9484.0,222.0,205.0,24.0,0.0,6.36,0.25,0.0,355.79,302.49,300.66,0.53,0.08,0.0
bank,marital,svm,5.0,1115.6,0.0,6005.0,13018.0,223.0,335.0,17.0,0.0,5.52,0.12,0.0,324.61,302.5,300.83,1.02,0.06,0.0
census,age,svm,10.7,990.3,1.0,3513.0,7630.0,159.0,436.0,475.0,29.0,12.41,6.23,18.22,377.79,303.12,300.9,1.2,1.57,0.1
census,race,svm,2.4,998.6,0.0,4028.0,8452.0,162.0,92.0,26.0,0.0,2.12,0.28,0.0,290.8,302.93,300.76,0.29,0.08,0.0
census,sex,svm,0.2,1000.8,0.0,2683.0,9475.0,162.0,31.0,11.0,0.0,0.33,0.1,0.0,66.46,303.25,300.55,0.09,0.04,0.0
compas,age,svm,91.6,1702.2,1.0,5252.0,18011.0,198.0,620.0,6989.0,129.0,11.6,38.88,65.98,361.73,301.8,300.28,1.68,23.16,0.43
compas,race,svm,42.2,1749.6,1.0,6686.0,25620.0,275.0,537.0,3886.0,140.0,8.18,15.17,51.09,344.54,301.44,300.26,1.57,12.89,0.47
compas,sex,svm,3.4,1788.3,3.7,13264.0,34480.0,245.0,81.0,81.0,22.0,0.61,0.23,8.54,296.88,301.09,300.35,0.27,0.27,0.07
credit,age,svm,3.3,997.7,1.0,2901.0,33661.0,2676.0,216.0,74.0,823.0,6.93,0.22,30.75,329.87,302.7,300.05,0.6,0.24,2.74
credit,sex,svm,0.3,1000.7,8.0,2874.0,90061.0,2322.0,11.0,20.0,10.0,0.15,0.02,0.43,93.34,300.42,300.05,0.04,0.07,0.03
meps,SEX,svm,5.1,1486.4,0.0,4522.0,46881.0,304.0,140.0,785.0,0.0,3.12,1.67,0.0,363.96,304.34,300.55,0.39,2.58,0.0
